#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-BH-A204-01A	1	0.129	0.112	0.144
TCGA-BH-A208-01A	1	0.566	0.534	0.612
TCGA-BH-A209-01A	1	0.641	0.611	0.665
TCGA-BH-A2L8-01A	1	0.651	0.629	0.668
TCGA-BH-A42V-01A	1	0.556	0.529	0.585
TCGA-BH-A5IZ-01A	1	0.339	0.318	0.357
TCGA-BH-A5J0-01A	1	0.365	0.337	0.395
TCGA-BH-A6R8-01A	1	0.254	0.234	0.279
TCGA-BH-A8FY-01A	1	0.154	0.14	0.17
TCGA-BH-A8FZ-01A	1	0.611	0.582	0.632
TCGA-BH-A8G0-01A	1	0.71	0.684	0.742
TCGA-BH-AB28-01A	1	0.374	0.35	0.394
TCGA-C8-A1HJ-01A	1	0.209	0.189	0.231
TCGA-C8-A1HK-01A	1	0.192	0.172	0.207
TCGA-C8-A1HL-01A	1	0.174	0.157	0.191
TCGA-C8-A1HN-01A	1	0.197	0.179	0.214
TCGA-C8-A1HO-01A	1	0.137	0.123	0.151
TCGA-C8-A26W-01A	1	0.328	0.306	0.354
TCGA-C8-A26X-01A	1	0.526	0.49	0.556
TCGA-C8-A26Y-01A	1	0.399	0.373	0.431
TCGA-C8-A26Z-01A	1	0.148	0.133	0.164
TCGA-C8-A273-01A	1	0.255	0.236	0.274
TCGA-C8-A278-01A	1	0.566	0.534	0.6
TCGA-C8-A27A-01A	1	0.147	0.133	0.163
TCGA-C8-A27B-01A	1	0.253	0.234	0.274
TCGA-C8-A3M7-01A	1	0.538	0.513	0.567
TCGA-C8-A3M8-01A	1	0.322	0.3	0.345
TCGA-C8-A8HP-01A	1	0.749	0.728	0.769
TCGA-C8-A8HQ-01A	1	0.385	0.355	0.413
TCGA-C8-A8HR-01A	1	0.741	0.721	0.767
TCGA-D8-A1J8-01A	1	0.317	0.295	0.341
TCGA-D8-A1J9-01A	1	0.325	0.304	0.351
TCGA-D8-A1JA-01A	1	0.21	0.195	0.226
TCGA-D8-A1JB-01A	1	0.716	0.683	0.734
TCGA-D8-A1JC-01A	1	0.26	0.24	0.279
TCGA-D8-A1JE-01A	1	0.389	0.366	0.415
TCGA-D8-A1JG-01B	1	0.46	0.435	0.49
TCGA-D8-A1JI-01A	1	0.147	0.129	0.164
TCGA-D8-A1JJ-01A	1	0.433	0.377	0.458
TCGA-D8-A1JK-01A	1	0.346	0.323	0.373
TCGA-D8-A1JM-01A	1	0.141	0.124	0.157
TCGA-D8-A1JN-01A	1	0.114	0.101	0.128
TCGA-D8-A1JS-01A	1	0.093	0.08	0.106
TCGA-D8-A1JT-01A	1	0.131	0.117	0.146
TCGA-D8-A1JU-01A	1	0.587	0.558	0.616
TCGA-D8-A1X5-01A	1	0.315	0.287	0.34
TCGA-D8-A1X6-01A	1	0.175	0.16	0.191
TCGA-D8-A1X7-01A	1	0.207	0.192	0.223
TCGA-D8-A1X9-01A	1	0.254	0.234	0.276
TCGA-D8-A1XA-01A	1	0.205	0.187	0.222
TCGA-D8-A1XB-01A	1	0.422	0.393	0.454
TCGA-D8-A1XC-01A	1	0.151	0.134	0.166
TCGA-D8-A1XG-01A	1	0.177	0.162	0.192
TCGA-D8-A1XJ-01A	1	0.244	0.226	0.263
TCGA-D8-A1XK-01A	1	0.437	0.413	0.475
TCGA-D8-A1XL-01A	1	0.348	0.331	0.367
TCGA-D8-A1XM-01A	1	0.472	0.447	0.505
TCGA-D8-A1XQ-01A	1	0.301	0.276	0.336
TCGA-D8-A1XR-01A	1	0.164	0.149	0.178
TCGA-D8-A1XV-01A	1	0.149	0.132	0.163
TCGA-D8-A1XY-01A	1	0.354	0.333	0.377
TCGA-D8-A1XZ-01A	1	0.253	0.232	0.279
TCGA-D8-A1Y1-01A	1	0.362	0.334	0.395
TCGA-D8-A1Y2-01A	1	0.56	0.534	0.593
TCGA-D8-A1Y3-01A	1	0.119	0.105	0.133
TCGA-D8-A27E-01A	1	0.292	0.273	0.313
TCGA-D8-A27F-01A	1	0.205	0.187	0.223
TCGA-D8-A27G-01A	1	0.404	0.379	0.433
TCGA-D8-A27I-01A	1	0.66	0.631	0.686
TCGA-D8-A27K-01A	1	0.414	0.391	0.439
TCGA-D8-A27L-01A	1	0.541	0.512	0.567
TCGA-D8-A27R-01A	1	0.433	0.41	0.459
TCGA-D8-A27T-01A	1	0.321	0.3	0.348
TCGA-D8-A27V-01A	1	0.362	0.331	0.389
TCGA-D8-A27W-01A	1	0.329	0.302	0.355
TCGA-D8-A73U-01A	1	0.718	0.686	0.751
TCGA-D8-A73W-01A	1	0.334	0.312	0.355
TCGA-D8-A73X-01A	1	0.264	0.243	0.281
TCGA-E2-A10C-01A	1	0.303	0.277	0.337
TCGA-E2-A14N-01A	1	0.682	0.659	0.699
TCGA-E2-A15I-01A	1	0.33	0.309	0.352
TCGA-E2-A15J-01A	1	0.144	0.13	0.158
TCGA-E2-A15K-01A	1	0.218	0.201	0.237
TCGA-E2-A1B0-01A	1	0.449	0.423	0.475
TCGA-E2-A1B1-01A	1	0.722	0.688	0.747
TCGA-E2-A1B4-01A	1	0.209	0.189	0.228
TCGA-E2-A1B5-01A	1	0.742	0.682	0.766
TCGA-E2-A1BC-01A	1	0.433	0.408	0.459
TCGA-E2-A1BD-01A	1	0.156	0.141	0.169
TCGA-E2-A1IE-01A	1	0.263	0.243	0.285
TCGA-E2-A1IJ-01A	1	0.584	0.558	0.614
TCGA-E2-A1IK-01A	1	0.43	0.411	0.456
TCGA-E2-A1IL-01A	1	0.235	0.218	0.251
TCGA-E2-A1IN-01A	1	0.236	0.216	0.257
TCGA-E2-A1IU-01A	1	0.432	0.369	0.459
TCGA-E2-A1L6-01A	1	0.45	0.433	0.472
TCGA-E2-A1L7-01A	1	0.358	0.334	0.382
TCGA-E2-A1L9-01A	1	0.383	0.362	0.408
TCGA-E2-A1LA-01A	1	0.398	0.371	0.425
TCGA-E2-A1LB-01A	1	0.369	0.342	0.39
TCGA-E2-A1LG-01A	1	0.128	0.108	0.149
TCGA-E2-A1LH-01A	1	0.578	0.549	0.596
TCGA-E2-A1LI-01A	1	0.49	0.458	0.534
TCGA-E2-A1LK-01A	1	0.176	0.158	0.193
TCGA-E2-A2P6-01A	1	0.155	0.141	0.168
TCGA-E2-A56Z-01A	1	0.176	0.163	0.19
TCGA-E2-A573-01A	1	0.55	0.535	0.565
TCGA-E2-A574-01A	1	0.139	0.121	0.157
TCGA-E2-A576-01A	1	0.226	0.205	0.246
TCGA-E9-A1N3-01A	1	0.213	0.196	0.231
TCGA-E9-A1N4-01A	1	0.378	0.351	0.404
TCGA-E9-A1N5-01A	1	0.413	0.389	0.434
TCGA-E9-A1N9-01A	1	0.333	0.306	0.358
TCGA-E9-A1NA-01A	1	0.266	0.244	0.286
TCGA-E9-A1NC-01A	1	0.647	0.564	0.666
TCGA-E9-A1ND-01A	1	0.545	0.501	0.582
TCGA-E9-A1NE-01A	1	0.731	0.709	0.756
TCGA-E9-A1NF-01A	1	0.385	0.361	0.414
TCGA-E9-A1NG-01A	1	0.653	0.634	0.671
TCGA-E9-A1NI-01A	1	0.237	0.212	0.263
TCGA-E9-A1QZ-01A	1	0.658	0.634	0.686
TCGA-E9-A1R0-01A	1	0.471	0.446	0.495
TCGA-E9-A1R2-01A	1	0.346	0.322	0.372
TCGA-E9-A1R3-01A	1	0.304	0.285	0.325
TCGA-E9-A1R5-01A	1	0.302	0.28	0.32
TCGA-E9-A1R6-01A	1	0.244	0.226	0.263
TCGA-E9-A1R7-01A	1	0.318	0.298	0.34
TCGA-E9-A1RA-01A	1	0.543	0.513	0.57
TCGA-E9-A1RC-01A	1	0.152	0.135	0.168
TCGA-E9-A1RE-01A	1	0.168	0.152	0.182
TCGA-E9-A1RF-01A	1	0.297	0.263	0.334
TCGA-E9-A1RG-01A	1	0.194	0.175	0.21
TCGA-E9-A1RH-01A	1	0.399	0.365	0.432
TCGA-E9-A227-01A	1	0.428	0.398	0.451
TCGA-E9-A228-01A	1	0.184	0.166	0.205
TCGA-E9-A229-01A	1	0.397	0.374	0.422
TCGA-E9-A22A-01A	1	0.54	0.5	0.573
TCGA-E9-A22D-01A	1	0.493	0.435	0.525
TCGA-E9-A22E-01A	1	0.498	0.472	0.55
TCGA-E9-A22H-01A	1	0.335	0.313	0.355
TCGA-E9-A243-01A	1	0.807	0.78	0.832
TCGA-E9-A244-01A	1	0.399	0.365	0.42
TCGA-E9-A245-01A	1	0.228	0.211	0.243
TCGA-E9-A247-01A	1	0.167	0.152	0.182
TCGA-E9-A248-01A	1	0.576	0.551	0.614
TCGA-E9-A24A-01A	1	0.393	0.35	0.411
